ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.2067,4.27383,8.48367,0.93306,3.90662,8.9464,-0.32068,0.10499,-0.10533,-4.1E-4,-0.02197,-0.06602,4.0,-1.202,-25.504,-33.267,192.751,-23.476,-5.954,0.0,1001.63,33.4909,48.23488,16.367449,306.452,535.1076609183506,,0.0,158.06451,,0 / 20,2,2016-09-12 08:43:50:960
0.2067,4.27383,8.48367,0.93306,3.90662,8.9464,-0.32068,0.10499,-0.10533,-4.1E-4,-0.02197,-0.06602,4.0,-1.202,-25.504,-33.267,192.751,-23.476,-5.954,1.97,1001.63,26.9661,48.23488,16.367449,306.452,535.1076609183506,,0.0,158.06451,,0 / 20,502,2016-09-12 08:43:51:460
0.2067,4.27383,8.48367,0.93306,3.90662,8.9464,-0.32068,0.10499,-0.10533,-4.1E-4,-0.02197,-0.06602,4.0,-1.202,-25.504,-33.267,192.751,-23.476,-5.954,1.97,1001.63,22.8156,48.23488,16.367449,306.452,535.1076609183506,,0.0,158.06451,,0 / 20,1002,2016-09-12 08:43:51:960
0.2067,4.27383,8.48367,0.93306,3.90662,8.9464,-0.32068,0.10499,-0.10533,-4.1E-4,-0.02197,-0.06602,4.0,-1.202,-25.504,-33.267,192.751,-23.476,-5.954,1.97,1001.63,54.1536,48.23488,16.367449,306.452,535.1076609183506,,0.0,158.06451,,0 / 20,1502,2016-09-12 08:43:52:460
0.2067,4.27383,8.48367,0.93306,3.90662,8.9464,-0.32068,0.10499,-0.10533,-4.1E-4,-0.02197,-0.06602,4.0,-1.202,-25.504,-33.267,192.751,-23.476,-5.954,1.97,1001.63,48.6138,48.23488,16.367449,306.452,535.1076609183506,,0.0,158.06451,,0 / 20,2002,2016-09-12 08:43:52:960
0.2067,4.27383,8.48367,0.93306,3.90662,8.9464,-0.32068,0.10499,-0.10533,-4.1E-4,-0.02197,-0.06602,4.0,-1.202,-25.504,-33.267,192.751,-23.476,-5.954,1.97,1001.63,51.0009,48.23488,16.367449,306.452,535.1076609183506,,0.0,158.06451,,0 / 20,2503,2016-09-12 08:43:53:461
0.2067,4.27383,8.48367,0.93306,3.90662,8.9464,-0.32068,0.10499,-0.10533,-4.1E-4,-0.02197,-0.06602,4.0,-1.202,-25.504,-33.267,192.751,-23.476,-5.954,1.97,1001.63,54.0975,48.23488,16.367449,306.452,535.1076609183506,,0.0,158.06451,,0 / 20,3003,2016-09-12 08:43:53:961
-3.05147,3.95908,9.48294,0.93306,3.90662,8.9464,-0.32068,0.10499,-0.10533,-4.1E-4,-0.02197,-0.06602,3.45076,-1.202,-25.504,-33.267,192.751,-23.476,-5.954,0.0,1001.63,46.1338,48.23488,16.367449,306.452,535.1076609183506,,0.0,158.06451,,0 / 20,3502,2016-09-12 08:43:54:460
-3.05147,3.95908,9.48294,-0.11353,4.38015,8.77336,-1.38571,-0.15403,0.63836,-1.49345,-0.61868,0.36537,3.45076,17.596,13.11,-34.116,326.886,-26.529,0.741,0.0,1001.58,46.6047,48.23488,16.367449,306.452,535.1076609183506,,0.0,158.06451,,0 / 20,4002,2016-09-12 08:43:54:960
-3.05147,3.95908,9.48294,-0.11353,4.38015,8.77336,-1.38571,-0.15403,0.63836,-1.49345,-0.61868,0.36537,3.45076,17.596,13.11,-34.116,326.886,-26.529,0.741,1.97,1001.58,41.5736,48.23488,16.367449,306.452,535.1076609183506,,0.0,158.06451,,0 / 20,4502,2016-09-12 08:43:55:460
