ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.02953,1.35904,9.56183,0.08791,0.89039,9.76575,0.50958,0.15444,0.06176,0.2758,0.151,-0.17279,16.0,-19.537,4.115,-41.776,68.288,-5.209,-0.516,1.97,1001.669,45.3221,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,6,2016-09-12 09:31:46:936
-0.19205,1.33882,9.51958,0.19989,1.01507,9.75193,-0.05445,0.51298,0.89766,0.28949,0.07928,-0.01547,18.0,-18.974,2.0,-43.03,70.318,-5.941,-1.174,1.97,1001.669,15.4535,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,506,2016-09-12 09:31:47:436
-0.02504,2.11157,9.28339,-0.1115,1.27723,9.72248,-0.58913,0.77305,-1.48218,0.06606,-0.06718,-0.10136,19.0,-18.172,0.436,-41.862,74.646,-6.931,0.526,1.97,1001.669,43.5524,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,1007,2016-09-12 09:31:47:937
0.45242,1.61024,7.86012,0.1553,1.6565,9.66449,0.09428,-0.68477,-0.02272,-0.07928,-0.21861,-0.39725,19.0,-18.126,-1.36,-40.956,70.948,-9.725,-0.921,1.97,1001.679,15.5865,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,1507,2016-09-12 09:31:48:437
-0.91754,1.35847,6.48409,-0.04448,1.70835,9.6566,-0.53349,-0.89943,0.0372,0.41725,0.35761,-0.15167,19.0,-20.386,-1.428,-40.761,74.964,-8.547,-1.097,1.97,1001.669,18.1783,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,2007,2016-09-12 09:31:48:937
-0.20787,1.51306,11.59427,0.09565,1.85861,9.62844,0.21125,0.11935,1.09235,0.25624,0.00867,-0.09625,18.0,-21.951,-0.789,-40.93,73.988,-9.984,-0.698,1.97,1001.679,15.4574,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,2509,2016-09-12 09:31:49:439
0.10535,2.43642,10.61939,-0.14006,1.54222,9.68361,0.58336,0.19324,0.34742,-0.13965,-0.04637,0.1806,15.54863,-21.298,-0.223,-42.072,73.318,-9.023,1.059,1.97,1001.679,15.6462,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,3007,2016-09-12 09:31:49:937
-0.50529,2.25786,9.38895,-0.24336,1.69033,9.65681,-0.10241,0.39141,-2.0758,-0.12132,-0.08069,0.34865,13.0,-19.089,1.906,-42.13,65.301,-10.367,1.984,1.97,1001.679,18.3556,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,3506,2016-09-12 09:31:50:436
-1.07875,0.54556,9.52364,-0.30265,1.5506,9.67856,-0.65864,-0.98461,0.06644,-0.12527,-0.08336,0.37187,13.0,-19.901,4.872,-41.042,61.984,-9.098,1.791,1.97,1001.689,41.1422,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,4006,2016-09-12 09:31:50:936
-1.1573,-0.33087,8.45371,0.15016,1.82528,9.63412,-2.15833,-2.1005,2.61028,-0.59909,-0.064,1.39328,13.4512,-17.767,9.439,-40.289,46.341,-11.218,-0.778,1.97,1001.679,15.381,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,4507,2016-09-12 09:31:51:437
