ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.46307,1.99681,8.40511,0.29284,1.2535,9.7218,0.57651,0.07494,-0.02299,0.20578,0.01874,-0.2202,14.0,-19.449,4.022,-41.908,62.048,-7.344,-1.725,1.97,1001.689,44.7192,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,4,2016-09-12 09:35:21:210
0.81238,2.45027,9.85204,0.10018,1.2343,9.72815,0.44766,1.12913,0.24636,-0.14082,0.29741,0.01852,14.45041,-19.948,1.881,-41.753,68.367,-7.344,-1.725,1.97,1001.689,44.7192,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,104,2016-09-12 09:35:21:310
0.17467,2.1893,9.26878,0.11615,1.18314,9.73433,0.527,0.9182,-0.35589,-0.13972,0.01178,-0.05606,15.0,-19.386,3.384,-42.583,65.612,-7.231,-0.59,1.97,1001.689,44.7192,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,204,2016-09-12 09:35:21:410
0.77762,1.95111,10.34303,0.12262,1.17984,9.73465,0.35079,1.08778,-0.26675,-0.01665,0.02844,-0.04173,15.45033,-19.269,3.601,-43.074,63.574,-6.91,-0.722,1.97,1001.691,28.1514,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,305,2016-09-12 09:35:21:511
-0.06866,1.85878,9.14372,0.16488,1.20846,9.73051,0.53694,0.68369,0.61206,-0.02025,-0.04395,-0.03033,16.0,-19.324,3.845,-42.97,63.574,-6.91,-0.722,1.97,1001.699,28.1514,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,404,2016-09-12 09:35:21:610
-0.55762,2.16795,10.06873,0.10192,1.48863,9.69247,0.2022,0.4895,0.41354,0.25237,0.09998,0.00351,16.44907,-21.098,2.081,-42.616,68.853,-7.814,-0.868,1.97,1001.699,28.1514,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,504,2016-09-12 09:35:21:710
0.02916,1.98788,8.63855,0.05276,1.6914,9.65954,-0.6176,0.46329,0.55866,0.26994,0.07005,0.13235,17.0,-20.209,2.661,-42.395,64.395,-8.731,-0.602,1.97,1001.699,35.9629,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,604,2016-09-12 09:35:21:810
-1.02281,0.69695,9.3123,0.01499,1.62855,9.67047,-0.30613,-1.1757,1.5112,-0.12144,0.06047,0.16541,17.0,-19.682,1.036,-41.995,68.218,-9.559,-0.089,1.97,1001.699,35.9629,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,704,2016-09-12 09:35:21:910
-1.25194,1.27898,8.67897,-0.09457,1.72631,9.65305,-1.34307,-0.30325,-2.24753,0.20837,0.20811,0.2251,17.44907,-17.767,2.211,-42.355,63.123,-10.139,0.561,1.97,1001.699,35.9629,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,804,2016-09-12 09:35:22:010
0.10902,1.65965,9.25211,-0.0632,1.50027,9.69101,-0.06525,-0.09478,0.22489,-0.13109,0.03795,0.29102,18.0,-17.453,2.478,-41.997,64.108,-8.8,0.374,1.97,1001.699,39.0376,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,904,2016-09-12 09:35:22:110
