ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.44319,2.22333,10.05414,0.15703,1.41399,9.70291,0.26727,0.36138,0.55556,-0.18562,-0.20676,-0.23807,14.44917,-18.359,1.753,-42.302,64.654,-8.843,-0.236,1.97,1001.749,44.039,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,6,2016-09-12 09:39:31:006
-0.74365,1.39113,8.8419,0.00228,2.16386,9.56494,-1.15268,-1.34541,0.43303,0.48602,0.16592,-0.01772,16.44753,-18.179,-1.997,-41.486,70.224,-11.598,-0.588,1.97,1001.739,36.597,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,505,2016-09-12 09:39:31:505
0.45831,2.36324,10.54678,0.10052,2.11655,9.57499,0.38989,0.64262,0.89025,0.31203,0.05336,-0.17261,18.4503,-19.606,-1.514,-41.754,69.901,-12.464,-0.601,1.97,1001.729,23.1178,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,1006,2016-09-12 09:39:32:006
0.36465,1.90047,12.16846,0.02608,1.24211,9.72763,0.21327,0.65605,-1.45414,-0.43614,-0.07564,-0.01001,21.0,-19.502,-2.463,-41.092,80.816,-7.277,-0.154,1.97,1001.726,20.2271,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,1506,2016-09-12 09:39:32:506
-0.02776,1.72319,7.36595,-0.08444,1.54699,9.6835,-0.31724,-0.47148,-2.05981,-0.15143,-0.08614,0.44371,20.55266,-20.079,-0.148,-41.745,71.377,-9.741,1.198,1.97,1001.719,42.4013,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,2005,2016-09-12 09:39:33:005
-0.41904,0.28185,9.44196,-0.16043,1.60811,9.67257,-0.08074,-1.35642,-2.00959,-0.41696,0.13528,0.21428,17.54924,-21.144,-2.681,-41.258,77.121,-11.075,0.557,1.97,1001.729,27.731,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,2505,2016-09-12 09:39:33:505
-2.52762,0.3036,8.30972,-0.57814,2.31218,9.51262,-1.97622,-2.421,0.83733,0.02927,0.07701,0.70412,15.0,-18.304,-0.668,-42.242,67.125,-13.637,3.478,1.97,1001.719,21.1582,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,3005,2016-09-12 09:39:34:005
-1.80901,-1.88928,15.7361,-0.40328,2.12778,9.56453,-2.11413,-0.09198,0.91862,0.08464,0.50551,0.82024,14.54877,-18.028,4.686,-40.961,55.387,-12.531,2.414,1.97,1001.719,31.223,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,3506,2016-09-12 09:39:34:506
0.99649,2.58362,10.22577,0.28714,1.54066,9.68061,1.11716,-0.2987,0.96799,0.0661,0.26135,1.54781,13.54869,-12.674,16.891,-39.647,27.569,-8.713,-1.48,1.97,1001.719,24.6769,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,4006,2016-09-12 09:39:35:006
-0.36208,2.69896,8.7751,0.48179,1.89809,9.60914,-0.64086,0.32237,-1.19568,-0.07707,0.21375,0.97581,9.09747,-5.69,15.356,-40.486,10.052,-11.16,-2.87,1.97,1001.729,44.0496,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,4506,2016-09-12 09:39:35:506
0.55988,1.18753,8.20053,0.62253,1.99321,9.58175,-0.30144,-0.82157,-1.23296,-0.47725,0.06688,-0.09752,6.0,-1.932,13.434,-39.839,358.36,-11.727,-3.717,1.97,1001.723,42.205,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,5006,2016-09-12 09:39:36:006
-1.03842,1.03865,8.23283,0.38535,2.23487,9.54082,-0.67611,-2.04643,2.11153,6.0E-4,0.3448,0.46382,6.0,0.513,15.413,-39.442,351.471,-13.584,-3.759,1.97,1001.729,18.4489,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,5505,2016-09-12 09:39:36:505
-1.58122,-0.45407,11.12399,-0.19145,1.59533,9.67412,-0.25157,0.35699,0.30417,0.14342,0.30417,-0.11403,5.0,7.758,15.201,-39.334,341.151,-9.362,1.134,1.97,1001.729,38.4432,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,6005,2016-09-12 09:39:37:005
0.2592,1.48506,12.67894,0.09523,1.43945,9.69996,0.22391,0.45298,1.41907,0.28175,-0.02641,0.11839,6.0,6.253,14.468,-37.404,341.033,-7.057,-0.519,1.97,1001.729,41.5041,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,6505,2016-09-12 09:39:37:505
-0.18439,2.20799,9.692,0.29015,1.44374,9.69545,-0.2562,0.79957,-0.42961,0.09352,-0.02974,0.20851,5.0,8.012,13.437,-37.473,332.262,-7.755,-2.14,1.97,1001.729,44.7014,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,7005,2016-09-12 09:39:38:005
-0.21089,1.75974,9.08725,-0.19894,1.29606,9.71859,-0.02917,0.36696,-1.6467,-0.14078,0.10852,0.0101,6.45117,17.693,6.833,-33.597,303.974,-8.162,0.838,1.97,1001.729,29.4438,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,7506,2016-09-12 09:39:38:506
0.09045,0.71989,9.49364,-0.36525,1.78067,9.63671,-0.5634,-0.73897,-2.94151,-0.22856,-0.03218,0.39951,25.15767,42.841,26.289,-36.536,308.262,-10.762,2.22,1.97,1001.729,34.6341,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,8005,2016-09-12 09:39:39:005
-0.02074,0.25357,7.99471,-0.50066,1.61301,9.66012,0.62855,-2.36266,3.97453,-0.86064,0.51285,-0.19139,45.0,13.919,25.038,-40.108,338.582,-11.461,1.766,1.97,1001.739,40.764,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,8505,2016-09-12 09:39:39:505
-2.06163,1.02281,9.7339,-0.47352,1.78709,9.63081,-0.50024,0.61758,0.63519,0.31592,0.0119,-0.02817,44.0,9.438,23.494,-39.813,346.179,-9.583,2.52,1.97,1001.739,38.8293,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,9006,2016-09-12 09:39:40:006
-0.08415,1.40768,11.21271,-0.2729,1.67471,9.65874,-0.09015,0.32931,0.34837,0.30055,0.39778,-0.03162,44.45076,6.516,22.639,-40.096,348.76,-9.833,1.618,1.97,1001.739,39.9799,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,9506,2016-09-12 09:39:40:506
1.37421,1.70093,11.35713,-0.36384,1.02838,9.74579,1.28861,0.63283,0.21396,-0.18074,-0.18768,-0.18274,46.44759,7.501,23.711,-40.233,346.955,-5.92,2.151,1.97,1001.739,21.7829,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,10005,2016-09-12 09:39:41:005
-0.12247,1.63678,8.01482,-0.33585,1.15357,9.73277,1.26346,-0.65926,-0.51629,-0.49603,-0.20544,0.04462,49.45154,6.087,22.066,-40.71,351.796,-8.022,2.827,1.97,1001.739,36.4798,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,10506,2016-09-12 09:39:41:506
-0.38872,-0.26474,8.62219,-0.26734,1.18694,9.73088,1.27694,-1.93348,-1.92399,-0.00867,0.06627,-0.34358,55.4511,4.129,23.894,-40.321,354.13,-6.944,1.506,1.97,1001.746,41.1982,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,11006,2016-09-12 09:39:42:006
-0.91232,-1.0658,15.34885,-0.41417,1.83479,9.62457,-1.23039,-0.8263,0.38665,0.27002,0.27498,0.12683,59.4507,2.881,22.849,-42.358,357.303,-10.62,2.139,1.97,1001.739,30.8136,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,11505,2016-09-12 09:39:42:505
0.33504,1.70331,9.27309,-0.3988,2.06427,9.57863,0.71527,-0.24997,-0.07956,0.23897,-0.04214,-1.23267,64.90253,-1.353,22.813,-43.454,5.055,-12.151,2.384,1.97,1001.733,44.9558,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,12005,2016-09-12 09:39:43:005
0.85161,1.21933,9.849,-0.33896,1.81611,9.63106,1.56975,-1.05703,0.8682,0.04018,-0.87489,-2.11264,79.61316,-17.851,12.489,-46.094,45.789,-11.319,3.924,1.97,1001.739,37.1836,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,12506,2016-09-12 09:39:43:506
-1.51353,1.9805,8.56969,0.00229,1.64678,9.66739,-0.58378,0.34423,0.48963,0.22063,0.1808,0.40059,75.20008,-25.749,0.172,-40.759,75.161,-9.667,-0.014,1.97,1001.739,46.7933,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,13006,2016-09-12 09:39:44:006
-0.20639,2.78526,9.34857,-0.00881,1.26364,9.72489,-0.1212,1.36867,0.09399,-1.5E-4,-0.13638,0.06879,56.55574,-25.304,4.546,-41.722,67.507,-7.403,0.052,1.97,1001.729,45.8557,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,13505,2016-09-12 09:39:44:505
-0.05795,2.60181,8.25444,0.18238,1.54022,9.68323,-0.57996,-0.41967,-1.41595,-0.18234,-0.14204,-0.03061,46.54839,-26.72,2.939,-40.265,70.44,-9.036,-1.079,1.97,1001.736,31.8656,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,14005,2016-09-12 09:39:45:005
-0.88397,1.1431,7.73682,-0.25955,1.71072,9.6528,-0.59868,-0.6981,-1.61937,0.27556,0.48747,0.44418,48.54907,-25.426,4.576,-41.426,64.392,-10.344,0.708,1.97,1001.739,30.195,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,14506,2016-09-12 09:39:45:506
1.67081,0.58902,12.74606,0.15932,2.01781,9.59549,-0.17607,0.10697,0.53439,0.23329,-0.23111,-0.07982,49.45113,-27.965,3.911,-44.312,64.773,-12.023,-0.247,1.97,1001.739,36.7163,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,15005,2016-09-12 09:39:46:005
-0.17682,1.85205,9.04967,-0.03322,2.4246,9.50214,0.47046,-0.19131,-0.54031,0.21918,0.3904,0.14117,47.0,-28.581,-3.2,-41.968,75.658,-14.314,0.2,1.97,1001.739,40.3261,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,15505,2016-09-12 09:39:46:505
